Date,Person,Item
02-01-2000,6,dishwashing liquid/detergent
02-01-2000,6,cereals
02-01-2000,6,paper towels
02-01-2000,6,laundry detergent
02-01-2000,6,butter
02-01-2000,6,cereals
02-01-2000,6,bagels
02-01-2000,6,paper towels
02-01-2000,6,shampoo
02-01-2000,6,toilet paper
02-01-2000,6,soap
02-01-2000,6,soap
02-01-2000,6,pasta
02-01-2000,6,coffee/tea
02-01-2000,6,poultry
02-01-2000,6,bagels
02-01-2000,6,aluminum foil
02-01-2000,6,butter
02-01-2000,6,spaghetti sauce
02-01-2000,6,ketchup
02-01-2000,6,all- purpose
02-01-2000,6,milk
03-01-2000,7,individual meals
03-01-2000,7,paper towels
03-01-2000,7,tortillas
03-01-2000,7,vegetables
03-01-2000,7,milk
03-01-2000,7,ice cream
03-01-2000,7,juice
03-01-2000,7,dishwashing liquid/detergent
03-01-2000,7,soap
03-01-2000,7,sandwich bags
03-01-2000,7,pasta
03-01-2000,7,ketchup
03-01-2000,7,all- purpose
03-01-2000,7,yogurt
03-01-2000,7,mixes
03-01-2000,7,mixes
03-01-2000,7,toilet paper
03-01-2000,7,vegetables
03-01-2000,7,beef
03-01-2000,7,sandwich bags
03-01-2000,7,eggs
03-01-2000,7,spaghetti sauce
03-01-2000,7,fruits
03-01-2000,7,toilet paper
04-01-2000,8,ice cream
04-01-2000,8,juice
04-01-2000,8,paper towels
04-01-2000,8,waffles
04-01-2000,8,soda
04-01-2000,8,cheeses
04-01-2000,8,poultry
04-01-2000,8,toilet paper
04-01-2000,8,vegetables
04-01-2000,9,juice
04-01-2000,9,poultry
04-01-2000,9,coffee/tea
04-01-2000,9,coffee/tea
04-01-2000,9,dishwashing liquid/detergent
05-01-2000,10,ketchup
05-01-2000,10,coffee/tea
05-01-2000,10,toilet paper
05-01-2000,10,pork
05-01-2000,10,flour
05-01-2000,10,milk
05-01-2000,10,soda
05-01-2000,10,dishwashing liquid/detergent
05-01-2000,10,eggs
05-01-2000,10,tortillas
05-01-2000,10,tortillas
05-01-2000,10,vegetables
05-01-2000,10,fruits
05-01-2000,10,sugar
05-01-2000,10,soap
05-01-2000,10,dishwashing liquid/detergent
05-01-2000,10,juice
05-01-2000,10,sandwich loaves
05-01-2000,10,poultry
05-01-2000,10,eggs
05-01-2000,10,flour
05-01-2000,10,bagels
05-01-2000,10,soda
05-01-2000,10,bagels
05-01-2000,10,soda
05-01-2000,10,beef
05-01-2000,10,coffee/tea
05-01-2000,10,dishwashing liquid/detergent
05-01-2000,10,cheeses
05-01-2000,10,beef
05-01-2000,10,soap
05-01-2000,10,lunch meat
05-01-2000,10,pork
05-01-2000,10,waffles
05-01-2000,11,sandwich loaves
05-01-2000,11,ice cream
05-01-2000,11,soda
05-01-2000,11,bagels
05-01-2000,11,dishwashing liquid/detergent
05-01-2000,11,eggs
05-01-2000,11,sugar
05-01-2000,11,waffles
05-01-2000,11,individual meals
05-01-2000,11,toilet paper
05-01-2000,11,pasta
05-01-2000,11,sandwich loaves
05-01-2000,11,cheeses
05-01-2000,11,vegetables
05-01-2000,11,hand soap
05-01-2000,11,vegetables
05-01-2000,11,vegetables
05-01-2000,11,ketchup
05-01-2000,11,poultry
05-01-2000,11,dinner rolls
05-01-2000,11,dishwashing liquid/detergent
05-01-2000,11,coffee/tea
05-01-2000,11,milk
05-01-2000,11,shampoo
05-01-2000,11,ketchup
05-01-2000,11,sandwich loaves
05-01-2000,11,hand soap
05-01-2000,11,bagels
05-01-2000,11,flour
05-01-2000,11,vegetables
05-01-2000,11,pork
06-01-2000,12,pork
06-01-2000,12,tortillas
06-01-2000,12,pork
06-01-2000,12,shampoo
06-01-2000,12,lunch meat
06-01-2000,12,pasta
06-01-2000,12,juice
06-01-2000,12,bagels
06-01-2000,12,vegetables
06-01-2000,12,bagels
06-01-2000,12,vegetables
06-01-2000,12,laundry detergent
06-01-2000,12,yogurt
06-01-2000,12,sugar
06-01-2000,12,waffles
06-01-2000,12,hand soap
06-01-2000,12,hand soap
06-01-2000,12,butter
06-01-2000,12,juice
06-01-2000,12,spaghetti sauce
06-01-2000,12,vegetables
06-01-2000,12,flour
07-01-2000,13,sugar
07-01-2000,13,fruits
07-01-2000,13,all- purpose
07-01-2000,13,aluminum foil
07-01-2000,13,laundry detergent
07-01-2000,13,individual meals
07-01-2000,13,flour
07-01-2000,13,pork
07-01-2000,13,shampoo
07-01-2000,13,sugar
07-01-2000,13,aluminum foil
07-01-2000,13,shampoo
07-01-2000,13,soap
07-01-2000,13,bagels
07-01-2000,13,toilet paper
07-01-2000,13,juice
07-01-2000,13,ice cream
07-01-2000,13,ice cream
07-01-2000,13,sandwich loaves
07-01-2000,13,soap
07-01-2000,13,sugar
07-01-2000,13,paper towels
07-01-2000,13,vegetables
07-01-2000,14,fruits
07-01-2000,14,dinner rolls
07-01-2000,14,individual meals
07-01-2000,14,shampoo
07-01-2000,14,ketchup
07-01-2000,14,cereals
07-01-2000,14,sandwich bags
07-01-2000,14,laundry detergent
07-01-2000,14,vegetables
07-01-2000,14,sandwich loaves
07-01-2000,14,cheeses
07-01-2000,14,vegetables
07-01-2000,15,individual meals
07-01-2000,15,ice cream
07-01-2000,15,cereals
07-01-2000,15,paper towels
07-01-2000,15,bagels
07-01-2000,15,mixes
07-01-2000,15,lunch meat
07-01-2000,15,juice
07-01-2000,15,toilet paper
07-01-2000,15,cheeses
07-01-2000,15,paper towels
07-01-2000,15,paper towels
07-01-2000,15,juice
07-01-2000,15,aluminum foil
07-01-2000,15,fruits
07-01-2000,15,butter
07-01-2000,15,sandwich loaves
07-01-2000,15,tortillas
07-01-2000,15,spaghetti sauce
07-01-2000,15,hand soap
08-01-2000,16,sugar
08-01-2000,16,sandwich bags
08-01-2000,16,flour
08-01-2000,16,juice
08-01-2000,16,milk
08-01-2000,16,paper towels
08-01-2000,16,cereals
08-01-2000,16,sandwich bags
08-01-2000,16,pasta
08-01-2000,16,soda
08-01-2000,16,dishwashing liquid/detergent
08-01-2000,16,ice cream
08-01-2000,16,soap
08-01-2000,16,cheeses
08-01-2000,16,beef
08-01-2000,16,flour
08-01-2000,16,dinner rolls
08-01-2000,17,milk
08-01-2000,17,hand soap
08-01-2000,17,pasta
08-01-2000,17,individual meals
08-01-2000,17,spaghetti sauce
08-01-2000,17,cereals
08-01-2000,17,sandwich loaves
08-01-2000,17,hand soap
08-01-2000,17,individual meals
08-01-2000,18,sandwich bags
08-01-2000,18,toilet paper
08-01-2000,18,bagels
08-01-2000,18,shampoo
08-01-2000,18,coffee/tea
09-01-2000,19,individual meals
09-01-2000,19,laundry detergent
09-01-2000,19,coffee/tea
09-01-2000,19,eggs
09-01-2000,19,aluminum foil
09-01-2000,19,beef
09-01-2000,19,juice
09-01-2000,19,flour
09-01-2000,19,sugar
09-01-2000,19,individual meals
09-01-2000,19,waffles
09-01-2000,19,bagels
09-01-2000,19,vegetables
09-01-2000,19,coffee/tea
09-01-2000,19,spaghetti sauce
09-01-2000,19,butter
09-01-2000,19,beef
10-01-2000,20,shampoo
10-01-2000,20,dishwashing liquid/detergent
10-01-2000,20,yogurt
10-01-2000,20,juice
10-01-2000,20,sugar
10-01-2000,20,soap
10-01-2000,20,sandwich loaves
10-01-2000,20,butter
10-01-2000,20,sandwich loaves
10-01-2000,20,coffee/tea
10-01-2000,20,ketchup
10-01-2000,20,aluminum foil
10-01-2000,20,dishwashing liquid/detergent
10-01-2000,20,mixes
10-01-2000,20,laundry detergent
10-01-2000,20,shampoo
10-01-2000,20,cheeses
10-01-2000,20,tortillas
10-01-2000,20,toilet paper
10-01-2000,20,hand soap
10-01-2000,20,paper towels
10-01-2000,20,beef
10-01-2000,20,individual meals
10-01-2000,20,toilet paper
10-01-2000,20,soda
10-01-2000,20,cheeses
10-01-2000,20,vegetables
10-01-2000,20,aluminum foil
10-01-2000,20,toilet paper
10-01-2000,20,soap
10-01-2000,20,poultry
10-01-2000,20,aluminum foil
11-01-2000,21,waffles
11-01-2000,21,fruits
11-01-2000,21,all- purpose
11-01-2000,21,pork
11-01-2000,21,juice
11-01-2000,21,bagels
11-01-2000,21,mixes
11-01-2000,22,cheeses
11-01-2000,22,vegetables
11-01-2000,22,cereals
11-01-2000,22,sugar
11-01-2000,22,bagels
11-01-2000,22,soda
11-01-2000,23,vegetables
11-01-2000,23,vegetables
11-01-2000,23,aluminum foil
11-01-2000,23,bagels
11-01-2000,23,vegetables
11-01-2000,23,shampoo
11-01-2000,23,shampoo
11-01-2000,23,vegetables
11-01-2000,23,dishwashing liquid/detergent
11-01-2000,23,cereals
11-01-2000,23,cheeses
11-01-2000,23,flour
11-01-2000,23,lunch meat
11-01-2000,23,pasta
11-01-2000,23,soda
11-01-2000,23,vegetables
11-01-2000,23,toilet paper
11-01-2000,23,poultry
11-01-2000,23,coffee/tea
11-01-2000,23,flour
11-01-2000,23,all- purpose
11-01-2000,23,waffles
11-01-2000,23,coffee/tea
11-01-2000,23,milk
11-01-2000,23,yogurt
11-01-2000,23,vegetables
11-01-2000,23,mixes
11-01-2000,23,pasta
11-01-2000,23,dishwashing liquid/detergent
11-01-2000,23,dishwashing liquid/detergent
11-01-2000,23,dishwashing liquid/detergent
11-01-2000,24,fruits
11-01-2000,24,all- purpose
11-01-2000,24,pasta
11-01-2000,24,cheeses
11-01-2000,24,juice
11-01-2000,24,sandwich bags
11-01-2000,24,vegetables
11-01-2000,24,sandwich loaves
11-01-2000,24,coffee/tea
11-01-2000,24,juice
11-01-2000,24,lunch meat
11-01-2000,24,spaghetti sauce
11-01-2000,24,paper towels
11-01-2000,24,hand soap
11-01-2000,24,soap
11-01-2000,24,ice cream
11-01-2000,24,individual meals
11-01-2000,24,ketchup
11-01-2000,24,butter
11-01-2000,24,poultry
11-01-2000,24,cheeses
11-01-2000,24,bagels
11-01-2000,24,all- purpose
11-01-2000,24,ketchup
11-01-2000,24,waffles
11-01-2000,24,soap
11-01-2000,25,bagels
11-01-2000,25,sugar
11-01-2000,25,pork
11-01-2000,25,sandwich loaves
11-01-2000,25,tortillas
11-01-2000,25,ice cream
11-01-2000,25,all- purpose
11-01-2000,25,yogurt
11-01-2000,25,fruits
11-01-2000,25,pasta
11-01-2000,25,lunch meat
11-01-2000,25,dishwashing liquid/detergent
11-01-2000,25,juice
11-01-2000,25,vegetables
11-01-2000,25,vegetables
12-01-2000,26,fruits
12-01-2000,26,sandwich loaves
12-01-2000,26,vegetables
12-01-2000,26,coffee/tea
12-01-2000,26,aluminum foil
12-01-2000,26,vegetables
12-01-2000,26,shampoo
12-01-2000,26,cereals
12-01-2000,26,dinner rolls
12-01-2000,26,coffee/tea
12-01-2000,26,poultry
12-01-2000,26,butter
12-01-2000,26,juice
12-01-2000,26,paper towels
12-01-2000,26,vegetables
12-01-2000,26,beef
12-01-2000,26,mixes
12-01-2000,26,lunch meat
12-01-2000,26,bagels
12-01-2000,26,tortillas
12-01-2000,26,aluminum foil
12-01-2000,26,individual meals
12-01-2000,26,beef
12-01-2000,26,juice
12-01-2000,26,soda
12-01-2000,26,hand soap
12-01-2000,26,dinner rolls
12-01-2000,26,flour
12-01-2000,26,poultry
12-01-2000,26,sandwich loaves
12-01-2000,26,sugar
12-01-2000,26,yogurt
13-01-2000,27,laundry detergent
13-01-2000,27,pork
13-01-2000,27,pasta
13-01-2000,27,cheeses
13-01-2000,27,fruits
13-01-2000,27,sugar
13-01-2000,27,lunch meat
13-01-2000,27,laundry detergent
13-01-2000,27,paper towels
13-01-2000,27,butter
13-01-2000,27,sandwich loaves
13-01-2000,27,ice cream
13-01-2000,27,waffles
13-01-2000,27,all- purpose
13-01-2000,27,sandwich bags
13-01-2000,27,lunch meat
13-01-2000,27,sandwich loaves
13-01-2000,27,poultry
13-01-2000,27,vegetables
13-01-2000,27,shampoo
13-01-2000,27,dinner rolls
13-01-2000,27,milk
13-01-2000,27,soda
13-01-2000,27,mixes
13-01-2000,28,pork
13-01-2000,28,bagels
13-01-2000,28,poultry
13-01-2000,28,pasta
13-01-2000,28,butter
13-01-2000,28,all- purpose
13-01-2000,28,pasta
13-01-2000,28,shampoo
13-01-2000,28,sugar
13-01-2000,28,ketchup
13-01-2000,28,eggs
13-01-2000,28,soda
13-01-2000,28,tortillas
13-01-2000,28,soap
13-01-2000,28,individual meals
13-01-2000,28,ketchup
13-01-2000,28,butter
13-01-2000,28,mixes
13-01-2000,28,juice
13-01-2000,28,lunch meat
13-01-2000,28,cereals
13-01-2000,28,waffles
13-01-2000,28,shampoo
13-01-2000,28,shampoo
13-01-2000,28,toilet paper
13-01-2000,28,poultry
13-01-2000,28,lunch meat
13-01-2000,29,pasta
13-01-2000,29,butter
13-01-2000,29,sandwich loaves
13-01-2000,29,spaghetti sauce
13-01-2000,29,juice
13-01-2000,29,dinner rolls
13-01-2000,29,all- purpose
13-01-2000,29,pork
13-01-2000,29,yogurt
13-01-2000,29,vegetables
13-01-2000,29,spaghetti sauce
13-01-2000,29,vegetables
14-01-2000,30,flour
14-01-2000,30,bagels
14-01-2000,30,cheeses
14-01-2000,30,sandwich loaves
14-01-2000,30,toilet paper
15-01-2000,31,aluminum foil
15-01-2000,31,eggs
15-01-2000,31,ice cream
15-01-2000,31,pasta
15-01-2000,31,juice
15-01-2000,31,waffles
15-01-2000,31,shampoo
15-01-2000,31,dinner rolls
15-01-2000,31,soda
15-01-2000,31,vegetables
15-01-2000,31,laundry detergent
15-01-2000,31,hand soap
15-01-2000,31,waffles
15-01-2000,31,cereals
15-01-2000,31,vegetables
15-01-2000,31,toilet paper
15-01-2000,31,individual meals
15-01-2000,31,yogurt
15-01-2000,31,spaghetti sauce
15-01-2000,31,ice cream
15-01-2000,31,soda
15-01-2000,31,lunch meat
15-01-2000,31,paper towels
15-01-2000,32,soap
15-01-2000,32,paper towels
15-01-2000,32,individual meals
15-01-2000,32,dinner rolls
15-01-2000,32,vegetables
15-01-2000,32,lunch meat
15-01-2000,32,sugar
15-01-2000,32,soap
15-01-2000,32,eggs
15-01-2000,32,beef
15-01-2000,32,yogurt
15-01-2000,32,soda
15-01-2000,32,sandwich loaves
15-01-2000,32,aluminum foil
15-01-2000,32,dinner rolls
15-01-2000,32,soap
15-01-2000,32,cheeses
15-01-2000,32,sandwich loaves
15-01-2000,32,ice cream
15-01-2000,32,ketchup
15-01-2000,33,sandwich loaves
15-01-2000,33,pork
15-01-2000,33,sandwich bags
15-01-2000,33,ketchup
15-01-2000,33,coffee/tea
15-01-2000,33,vegetables
15-01-2000,33,soda
15-01-2000,33,poultry
15-01-2000,33,pasta
15-01-2000,33,all- purpose
15-01-2000,33,coffee/tea
15-01-2000,33,paper towels
15-01-2000,33,individual meals
15-01-2000,33,vegetables
15-01-2000,33,poultry
15-01-2000,33,flour
15-01-2000,33,aluminum foil
15-01-2000,33,soap
15-01-2000,33,yogurt
15-01-2000,33,mixes
15-01-2000,33,soda
16-01-2000,34,lunch meat
16-01-2000,34,mixes
16-01-2000,34,vegetables
16-01-2000,34,soap
16-01-2000,34,hand soap
16-01-2000,34,tortillas
16-01-2000,34,coffee/tea
16-01-2000,34,cheeses
16-01-2000,34,tortillas
16-01-2000,34,cheeses
16-01-2000,34,ice cream
16-01-2000,34,tortillas
16-01-2000,34,beef
16-01-2000,34,yogurt
16-01-2000,34,spaghetti sauce
16-01-2000,34,soda
16-01-2000,34,eggs
16-01-2000,35,aluminum foil
16-01-2000,35,cheeses
16-01-2000,35,cereals
16-01-2000,35,mixes
16-01-2000,35,laundry detergent
16-01-2000,35,juice
16-01-2000,35,pork
16-01-2000,35,bagels
16-01-2000,35,sandwich loaves
16-01-2000,35,yogurt
16-01-2000,35,milk
16-01-2000,35,sandwich loaves
16-01-2000,35,spaghetti sauce
16-01-2000,35,cereals
16-01-2000,35,individual meals
16-01-2000,35,eggs
17-01-2000,36,soap
17-01-2000,36,vegetables
17-01-2000,36,lunch meat
17-01-2000,36,flour
17-01-2000,36,juice
17-01-2000,36,yogurt
17-01-2000,36,shampoo
17-01-2000,36,spaghetti sauce
17-01-2000,36,ketchup
17-01-2000,36,laundry detergent
17-01-2000,36,dinner rolls
17-01-2000,36,ketchup
17-01-2000,36,vegetables
17-01-2000,36,shampoo
17-01-2000,36,sugar
17-01-2000,36,flour
17-01-2000,36,sandwich bags
17-01-2000,36,paper towels
17-01-2000,36,pork
17-01-2000,36,vegetables
17-01-2000,36,butter
17-01-2000,36,dinner rolls
17-01-2000,36,pork
17-01-2000,36,all- purpose
17-01-2000,36,hand soap
17-01-2000,36,sandwich bags
17-01-2000,36,all- purpose
17-01-2000,37,fruits
17-01-2000,37,lunch meat
17-01-2000,37,dinner rolls
17-01-2000,37,shampoo
17-01-2000,37,vegetables
17-01-2000,37,hand soap
17-01-2000,37,mixes
17-01-2000,37,vegetables
17-01-2000,37,pasta
17-01-2000,37,sugar
17-01-2000,37,vegetables
17-01-2000,38,eggs
17-01-2000,38,hand soap
17-01-2000,38,dinner rolls
17-01-2000,38,hand soap
17-01-2000,38,lunch meat
17-01-2000,38,laundry detergent
17-01-2000,38,pasta
17-01-2000,38,aluminum foil
17-01-2000,38,toilet paper
17-01-2000,38,cereals
17-01-2000,38,coffee/tea
17-01-2000,38,toilet paper
17-01-2000,38,vegetables
17-01-2000,38,juice
17-01-2000,38,lunch meat
17-01-2000,38,soda
17-01-2000,38,pork
17-01-2000,38,fruits
17-01-2000,38,spaghetti sauce
17-01-2000,38,laundry detergent
17-01-2000,38,butter
17-01-2000,38,tortillas
17-01-2000,38,individual meals
17-01-2000,38,aluminum foil
17-01-2000,38,toilet paper
17-01-2000,38,poultry
17-01-2000,38,toilet paper
17-01-2000,38,toilet paper
18-01-2000,39,coffee/tea
18-01-2000,39,milk
18-01-2000,39,dinner rolls
18-01-2000,39,beef
18-01-2000,39,coffee/tea
18-01-2000,39,waffles
18-01-2000,39,beef
18-01-2000,39,eggs
18-01-2000,39,sandwich bags
18-01-2000,39,tortillas
18-01-2000,39,vegetables
18-01-2000,39,tortillas
18-01-2000,39,all- purpose
18-01-2000,39,vegetables
18-01-2000,39,yogurt
18-01-2000,39,cheeses
18-01-2000,39,mixes
18-01-2000,39,ketchup
18-01-2000,39,waffles
18-01-2000,39,aluminum foil
18-01-2000,39,hand soap
18-01-2000,39,hand soap
18-01-2000,39,pork
18-01-2000,39,vegetables
18-01-2000,39,butter
18-01-2000,40,hand soap
18-01-2000,40,sandwich bags
18-01-2000,40,poultry
18-01-2000,40,beef
18-01-2000,40,coffee/tea
18-01-2000,40,mixes
18-01-2000,40,poultry
18-01-2000,40,sandwich loaves
18-01-2000,40,shampoo
18-01-2000,40,ice cream
18-01-2000,40,poultry
18-01-2000,40,shampoo
18-01-2000,41,milk
18-01-2000,41,hand soap
18-01-2000,41,fruits
18-01-2000,41,poultry
18-01-2000,41,coffee/tea
18-01-2000,41,sugar
18-01-2000,41,tortillas
18-01-2000,41,soda
18-01-2000,41,individual meals
18-01-2000,41,tortillas
18-01-2000,41,milk
18-01-2000,41,toilet paper
18-01-2000,41,soda
18-01-2000,41,poultry
18-01-2000,41,coffee/tea
18-01-2000,41,spaghetti sauce
18-01-2000,41,cheeses
18-01-2000,41,flour
18-01-2000,41,lunch meat
18-01-2000,42,cereals
18-01-2000,42,shampoo
18-01-2000,42,waffles
18-01-2000,42,bagels
18-01-2000,42,mixes
18-01-2000,42,shampoo
18-01-2000,42,mixes
18-01-2000,42,beef
18-01-2000,42,dinner rolls
18-01-2000,42,beef
18-01-2000,42,shampoo
18-01-2000,42,aluminum foil
18-01-2000,42,individual meals
18-01-2000,42,sugar
18-01-2000,42,spaghetti sauce
18-01-2000,42,juice
18-01-2000,42,tortillas
18-01-2000,42,shampoo
18-01-2000,42,sandwich loaves
18-01-2000,42,sandwich loaves
18-01-2000,42,cheeses
18-01-2000,42,waffles
18-01-2000,42,vegetables
18-01-2000,42,cheeses
18-01-2000,42,individual meals
18-01-2000,42,pasta
18-01-2000,42,paper towels
18-01-2000,42,beef
18-01-2000,42,juice
18-01-2000,42,paper towels
18-01-2000,42,ice cream
18-01-2000,42,aluminum foil
19-01-2000,43,toilet paper
19-01-2000,43,butter
19-01-2000,43,ketchup
19-01-2000,43,shampoo
19-01-2000,43,juice
19-01-2000,43,mixes
19-01-2000,43,milk
19-01-2000,43,shampoo
19-01-2000,43,tortillas
19-01-2000,43,laundry detergent
19-01-2000,43,flour
19-01-2000,43,cereals
19-01-2000,43,soap
19-01-2000,43,toilet paper
19-01-2000,43,butter
19-01-2000,43,coffee/tea
19-01-2000,43,cheeses
19-01-2000,43,soap
19-01-2000,43,soap
19-01-2000,43,butter
19-01-2000,43,sandwich loaves
19-01-2000,43,milk
19-01-2000,43,vegetables
19-01-2000,43,cereals
19-01-2000,43,dinner rolls
19-01-2000,43,poultry
19-01-2000,43,dishwashing liquid/detergent
19-01-2000,44,butter
19-01-2000,44,hand soap
19-01-2000,44,waffles
19-01-2000,44,laundry detergent
19-01-2000,44,shampoo
19-01-2000,44,lunch meat
19-01-2000,44,cheeses
19-01-2000,44,vegetables
19-01-2000,44,hand soap
19-01-2000,44,cereals
19-01-2000,44,vegetables
19-01-2000,44,dishwashing liquid/detergent
19-01-2000,44,soda
19-01-2000,44,spaghetti sauce
19-01-2000,44,aluminum foil
19-01-2000,44,laundry detergent
19-01-2000,44,flour
19-01-2000,44,poultry
19-01-2000,44,juice
20-01-2000,45,butter
20-01-2000,45,cereals
20-01-2000,45,toilet paper
20-01-2000,45,waffles
20-01-2000,45,soda
20-01-2000,45,pork
20-01-2000,45,yogurt
20-01-2000,45,pork
20-01-2000,45,all- purpose
20-01-2000,45,toilet paper
20-01-2000,45,vegetables
20-01-2000,45,spaghetti sauce
20-01-2000,45,toilet paper
20-01-2000,45,vegetables
20-01-2000,45,laundry detergent
20-01-2000,45,coffee/tea
20-01-2000,45,all- purpose
20-01-2000,45,coffee/tea
20-01-2000,45,eggs
20-01-2000,45,pork
20-01-2000,45,eggs
20-01-2000,45,all- purpose
20-01-2000,45,vegetables
20-01-2000,45,soda
20-01-2000,45,beef
20-01-2000,46,hand soap
20-01-2000,46,spaghetti sauce
20-01-2000,46,sandwich bags
20-01-2000,46,ice cream
20-01-2000,46,fruits
20-01-2000,46,soap
20-01-2000,46,cheeses
20-01-2000,46,waffles
20-01-2000,46,tortillas
20-01-2000,46,sugar
20-01-2000,46,toilet paper
20-01-2000,46,ketchup
20-01-2000,46,beef
20-01-2000,46,beef
20-01-2000,46,poultry
20-01-2000,46,milk
20-01-2000,46,dinner rolls
20-01-2000,46,dinner rolls
20-01-2000,46,eggs
20-01-2000,46,soap
20-01-2000,46,paper towels
20-01-2000,46,sandwich bags
20-01-2000,46,soda
21-01-2000,47,soda
21-01-2000,47,waffles
21-01-2000,47,vegetables
21-01-2000,47,beef
21-01-2000,47,fruits
21-01-2000,47,sandwich loaves
21-01-2000,47,ketchup
21-01-2000,47,cheeses
21-01-2000,47,sugar
21-01-2000,47,shampoo
21-01-2000,47,butter
21-01-2000,47,laundry detergent
21-01-2000,47,poultry
21-01-2000,47,waffles
21-01-2000,47,soap
21-01-2000,47,vegetables
21-01-2000,47,butter
21-01-2000,47,lunch meat
21-01-2000,47,aluminum foil
21-01-2000,47,waffles
21-01-2000,47,all- purpose
21-01-2000,47,flour
21-01-2000,47,ice cream
21-01-2000,47,dishwashing liquid/detergent
21-01-2000,47,lunch meat
21-01-2000,47,dishwashing liquid/detergent
21-01-2000,47,paper towels
21-01-2000,47,all- purpose
21-01-2000,47,sugar
21-01-2000,47,shampoo
22-01-2000,48,beef
22-01-2000,48,mixes
22-01-2000,48,individual meals
22-01-2000,48,laundry detergent
22-01-2000,48,coffee/tea
22-01-2000,48,hand soap
22-01-2000,48,pasta
22-01-2000,48,individual meals
22-01-2000,48,cereals
22-01-2000,48,spaghetti sauce
22-01-2000,48,pasta
22-01-2000,48,cereals
22-01-2000,48,fruits
22-01-2000,48,flour
22-01-2000,48,vegetables
22-01-2000,48,soap
22-01-2000,48,individual meals
22-01-2000,48,ketchup
23-01-2000,49,laundry detergent
23-01-2000,49,aluminum foil
23-01-2000,49,sandwich bags
23-01-2000,49,all- purpose
23-01-2000,49,shampoo
23-01-2000,49,beef
23-01-2000,49,sandwich loaves
23-01-2000,49,aluminum foil
23-01-2000,49,ice cream
23-01-2000,49,fruits
23-01-2000,49,lunch meat
23-01-2000,49,all- purpose
23-01-2000,49,bagels
23-01-2000,49,vegetables
23-01-2000,49,sandwich loaves
23-01-2000,49,waffles
23-01-2000,49,pork
23-01-2000,50,vegetables
23-01-2000,50,cereals
23-01-2000,50,beef
23-01-2000,50,flour
